nform,nper,ola,f10,f11,f12,f2,f3,f4,f5,f6,g7a,g2a,g2b,g4,g6,h1,h2,h3,h4,h5,h6,h7,h12,h11,h10a,h10,f1,f7,f8,f9,g1,g3,g5,g7,g8a,g8b,h8,h9a,h9b1,h9b2,h9b3,h9b4,h9b5,h9b6,h9b7,h9b8,h13,h11a
726,1,3,hijo/a sólo del jefe,14,mujer,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,1,1,3,,,,2,,,,,,,,,,,,,1
726,2,3,jefe,36,mujer,soltero/a,no asiste pero asistió,preescolar,,,si,40,0,asalariado privado,si,7500,,,,,,,,,si,,3,11,1,1,1,0,9,,2,,4,800,1,,,,,,,,0,1
728,1,3,hijo/a sólo del jefe,13,mujer,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,4,9,,,,,,,,,,,,,,,,,,1
728,2,3,jefe,40,hombre,unido/a,no asiste pero asistió,secundaria,no,4,si,64,0,asalariado público,si,22000,,,,,,,,,si,,3,26,4,9,1,0,10,,2,,,,,,,,,,,,999999,1
728,13,3,cónyuge,37,mujer,unido/a,no asiste pero asistió,primario común,si,6,si,30,0,asalariado privado,si,17000,,,,,,,,,si,,3,13,4,9,1,0,10,,2,,,1100,14,15,16,,,,,,,1
728,14,3,hijo/a sólo del cónyuge,15,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,4,9,3,,,,2,,,,,,,,,,,,,1
728,15,3,hijo/a sólo del cónyuge,13,mujer,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,4,9,,,,,,,,,,,,,,,,,,1
728,16,3,hijo/a sólo del cónyuge,8,hombre,soltero/a,asiste actualmente,primario común,no,1,si,,,,,,,,,,,,,,si,,3,,4,9,,,,,,,,,,,,,,,,,,1
730,1,3,nieto/a,16,hombre,soltero/a,no asiste pero asistió,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,15,1,1,7,,,,2,,,,,,,,,,,,,1
730,2,3,jefe,77,hombre,casado/a,no asiste pero asistió,primario común,no,4,si,,,,,,,7000,,,,,,,si,,3,12,1,1,4,,,,2,,,,,,,,,,,,,1
730,3,3,cónyuge,68,mujer,casado/a,no asiste pero asistió,primario común,no,4,si,,,,,,,,,,,,,,si,,3,12,1,1,7,,,,2,,,,,,,,,,,,,1
730,4,3,hijo/a de ambos,40,mujer,casado/a,no asiste pero asistió,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,16,1,1,7,,,,2,,,,,,,,,,,,,1
730,7,3,nieto/a,14,mujer,soltero/a,no asiste pero asistió,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,13,1,1,7,,,,2,,,,,,,,,,,,,1
731,1,3,hijo/a sólo del cónyuge,13,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,1,1,,,,,,,,,,,,,,,,,,1
731,2,3,cónyuge,41,mujer,soltero/a,no asiste pero asistió,primario común,si,6,si,35,0,asalariado privado,ns/nc,8000,,,,,,,,,si,,3,12,1,1,1,0,9,,2,,,2600,14,13,14,,,,,,,1
731,3,3,hijo/a sólo del cónyuge,12,hombre,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,3,,1,1,,,,,,,,,,,,,,,,,,1
731,4,3,hijo/a sólo del cónyuge,17,mujer,soltero/a,no asiste pero asistió,primario común,si,6,si,,,,,,,,,,,,,,si,,3,12,1,1,3,,,,2,,,,,,,,,,,,,1
731,5,3,hijo/a sólo del cónyuge,8,hombre,soltero/a,asiste actualmente,primario común,no,1,si,,,,,,,,,,,,,,si,,3,,1,1,,,,,,,,,,,,,,,,,,1
731,13,3,hijo/a de ambos,6,mujer,soltero/a,asiste actualmente,primario común,no,1,si,,,,,,,,,,,,,,si,,3,,1,1,,,,,,,,,,,,,,,,,,1
731,14,3,nieto/a,1,mujer,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,3,,1,1,,,,,,,,,,,,,,,,,,1
731,15,3,jefe,33,hombre,soltero/a,no asiste pero asistió,primario común,si,6,si,40,0,asalariado privado,ns/nc,1000,,,,,,,,,si,,3,12,1,1,1,0,9,,2,,,,,,,,,,,,,1
733,1,3,hijo/a sólo del jefe,14,mujer,soltero/a,asiste actualmente,secundaria,no,0,si,,,,,,,0,,,,,,,si,,3,,4,9,3,,,,2,,,,,,,,,,,,,1
733,2,3,jefe,54,mujer,viudo/a,no asiste pero asistió,secundaria,si,6,si,36,0,asalariado público,si,19000,7500,1800,,,,,5000,,si,,3,19,4,9,1,0,1,,2,,,590,1,4,5,,,,,,6000,1
733,3,3,hijo/a sólo del jefe,28,hombre,soltero/a,asiste actualmente,secundaria,no,4,si,36,0,asalariado público,si,10000,,,,,,,,,si,,3,,4,9,1,0,1,,2,,,,,,,,,,,,1000,1
733,4,3,hijo/a sólo del jefe,19,hombre,soltero/a,asiste actualmente,ens. técnica,no,3,si,,,,,,,0,,,,,,,si,,3,,4,9,3,,,,2,,,,,,,,,,,,,1
733,5,3,hijo/a sólo del jefe,16,hombre,soltero/a,asiste actualmente,secundaria,no,2,si,,,,,,,0,,,,,,,si,,3,,4,9,3,,,,2,,,,,,,,,,,,,1
734,1,3,hijo/a sólo del cónyuge,14,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
734,2,3,cónyuge,34,mujer,unido/a,no asiste pero asistió,secundaria,no,1,no,,,,,,,,,,,,,,si,,3,16,1,2,2,,,0,2,,,800,1,3,,,,,,,,1
734,3,3,hijo/a sólo del cónyuge,10,mujer,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
734,4,3,jefe,39,hombre,unido/a,no asiste pero asistió,secundaria,no,3,si,48,0,asalariado privado,si,8200,,,,,,,2500,,si,,3,99,2,2,1,0,8,,1,3,,,,,,,,,,,,1
735,1,3,hijo/a sólo del jefe,15,hombre,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,3,,1,2,3,,,,2,,,,,,,,,,,,,1
735,2,3,jefe,37,mujer,soltero/a,no asiste pero asistió,secundaria,no,99,no,,,,,,,,,,,,,,si,,3,99,1,2,2,,,0,2,,3,,,,,,,,,,,1
735,3,3,hijo/a sólo del jefe,19,hombre,unido/a,no asiste pero asistió,primario común,no,5,no,,,,,,,,,,,,,,si,,3,99,1,2,2,,,0,2,,,,,,,,,,,,,1
735,4,3,hijo/a sólo del jefe,17,hombre,unido/a,no asiste pero asistió,primario común,no,5,no,,,,,,,,,,,,,,si,,3,99,1,2,2,,,0,2,,,,,,,,,,,,,1
735,5,3,hijo/a sólo del jefe,13,mujer,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,1,,1,2,,,,,,,,,,,,,,,,,,1
735,6,3,hijo/a sólo del jefe,10,mujer,soltero/a,asiste actualmente,primario común,no,4,si,,,,,,,,,,,,,,si,,1,,1,2,,,,,,,,,,,,,,,,,,1
735,7,3,hijo/a sólo del jefe,8,mujer,soltero/a,asiste actualmente,primario común,no,2,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
735,13,3,hijo/a sólo del jefe,4,hombre,soltero/a,no asiste pero asistió,preescolar,no,,si,,,,,,,,,,,,,,si,,3,99,1,2,,,,,,,,,,,,,,,,,,1
735,14,3,hijo/a sólo del jefe,1,mujer,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
735,15,3,yerno/nuera,22,mujer,unido/a,no asiste pero asistió,primario común,si,6,no,,,,,,,,,,,,,,si,,1,99,1,2,2,,,0,2,,,,,,,,,,,,,1
735,16,3,nieto/a,5,hombre,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,1,,1,2,,,,,,,,,,,,,,,,,,1
735,17,3,hijo/a sólo del jefe,7,hombre,soltero/a,asiste actualmente,primario común,no,1,si,,,,,,,,,,,,,,si,,1,,1,2,,,,,,,,,,,,,,,,,,1
736,1,3,hijo/a sólo del jefe,14,mujer,soltero/a,asiste actualmente,secundaria,no,2,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
736,2,3,jefe,40,mujer,unido/a,no asiste pero asistió,secundaria,no,4,si,48,0,asalariado privado,si,12000,,,,,,,3000,,si,,3,16,2,1,1,0,8,,2,,1,2400,1,3,4,,,,,,,1
736,3,3,hijo/a sólo del jefe,16,mujer,soltero/a,asiste actualmente,secundaria,no,3,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
736,4,3,hijo/a sólo del jefe,12,hombre,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
736,13,3,hijo/a sólo del jefe,3,mujer,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
736,14,3,cónyuge,41,hombre,soltero/a,no asiste pero asistió,secundaria,si,6,si,48,0,asalariado privado,si,12000,,,,,,,,,si,,3,20,2,1,1,0,8,,2,,,,,,,,,,,,,1
737,1,3,hijo/a sólo del cónyuge,15,mujer,soltero/a,no asiste pero asistió,secundaria,no,0,si,,,,,,,,,,,,,,si,,3,1,1,2,6,,,,2,,,,,,,,,,,,,1
737,2,3,cónyuge,32,mujer,unido/a,no asiste pero asistió,primario común,si,6,si,,,,,,,,,,,,,,si,,3,99,1,2,6,,,,2,,3,1800,1,4,13,,,,,,,1
737,3,3,hijo/a sólo del cónyuge,9,hombre,soltero/a,asiste actualmente,primario común,no,1,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
737,4,3,hijo/a sólo del cónyuge,12,hombre,soltero/a,asiste actualmente,primario común,no,4,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
737,13,3,hijo/a de ambos,4,mujer,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
737,14,3,jefe,26,hombre,unido/a,no asiste pero asistió,primario común,no,99,si,48,0,asalariado privado,si,10000,,,,,,,,,si,,3,99,2,1,1,0,6,,2,,,,,,,,,,,,,1
739,1,3,hijo/a sólo del jefe,14,hombre,soltero/a,no asiste pero asistió,primario común,no,5,si,,,,,,,,,,,,,,si,,3,14,1,2,7,,,,2,,,,,,,,,,,,,1
739,2,3,jefe,49,mujer,sep./divorciado/a,no asiste pero asistió,preescolar,,,si,40,0,trab. cuenta propia sin local,no,600,,2310,,,,,5000,,si,,3,99,1,2,1,0,9,,2,,3,3700,1,3,4,5,8,13,14,,,1
739,3,3,hijo/a sólo del jefe,12,hombre,soltero/a,asiste actualmente,primario especial,no,3,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,1,,,,,,,,,,,1
739,4,3,hijo/a sólo del jefe,11,mujer,soltero/a,asiste actualmente,primario común,no,3,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
739,5,3,hijo/a sólo del jefe,9,mujer,soltero/a,asiste actualmente,primario común,no,2,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
739,8,3,nieto/a,7,hombre,soltero/a,asiste actualmente,primario común,no,0,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
739,13,3,nieto/a,4,hombre,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
739,14,3,nieto/a,3,hombre,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
740,1,3,hijo/a de ambos,13,mujer,soltero/a,asiste actualmente,secundaria,no,6,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
740,2,3,jefe,34,mujer,unido/a,no asiste pero asistió,secundaria,si,6,no,,,,,,,,,,,,,,si,,3,16,1,2,2,,,0,2,,,,,,,,,,,,,1
740,3,3,madre/padre,50,mujer,unido/a,no asiste pero asistió,secundaria,si,6,si,55,0,asalariado privado,si,6000,,3000,,,,,,,si,,3,99,2,1,1,0,9,,2,,,867,4,,,,,,,,,1
740,4,3,hermano/a,11,mujer,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,1,,2,1,,,,,,,,,,,,,,,,,,1
740,5,3,hermano/a,24,mujer,unido/a,no asiste pero asistió,primario común,si,6,si,20,0,asalariado privado,no,1200,,,,,,,,,si,,5,99,1,2,1,0,9,,2,,3,867,,15,,,,,,,,1
740,6,3,hermano/a,18,mujer,unido/a,no asiste pero asistió,secundaria,si,6,si,,,,,,,,,,,,,,si,,3,15,2,1,7,,,,2,,,,,,,,,,,,,1
740,7,3,cónyuge,35,hombre,unido/a,no asiste pero asistió,secundaria,si,6,si,50,0,asalariado privado,si,10000,,,,,,,,,si,,3,16,2,1,1,0,4,,2,,,1675,1,8,13,,,,,,,1
740,8,3,hijo/a de ambos,11,hombre,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
740,13,3,hijo/a de ambos,2,mujer,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
740,14,3,otros familiares,1,hombre,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
740,15,3,otros familiares,9,hombre,soltero/a,no asiste pero asistió,preescolar,ns/nc,,si,,,,,,,,,,,,,,si,,5,6,1,2,,,,,,,,,,,,,,,,,,1
740,16,3,cuñado/a,25,hombre,soltero/a,no asiste pero asistió,primario común,si,6,si,40,0,asalariado privado,no,2000,,,,,,,,,si,,3,99,1,2,1,0,2,,2,,,,,,,,,,,,,1
741,1,3,hijo/a de ambos,14,mujer,soltero/a,asiste actualmente,secundaria,no,0,si,,,,,,,,,,,,,,si,,3,,1,2,3,,,,2,,1,,,,,,,,,,,1
741,2,3,cónyuge,43,mujer,unido/a,no asiste pero asistió,secundaria,no,5,si,48,0,asalariado privado,si,11000,,,,,,,,,si,,3,17,1,2,1,0,9,,2,,1,2332,1,4,5,,,,,,,1
741,3,3,hijo/a de ambos,23,hombre,soltero/a,no asiste pero asistió,secundaria,no,0,si,48,0,asalariado privado,no,6000,,,,,,,,,si,,3,13,1,2,1,0,7,,2,,1,,,,,,,,,,,1
741,4,3,hijo/a de ambos,15,mujer,soltero/a,asiste actualmente,primario especial,no,6,si,,,,,,,,,,,,,,si,,3,,1,2,3,,,,2,,1,,,,,,,,,,,1
741,5,3,hijo/a de ambos,17,mujer,soltero/a,no asiste pero asistió,secundaria,no,3,si,,,,,,,,,,,,,,si,,3,16,1,2,7,,,,2,,1,,,,,,,,,,,1
741,6,3,jefe,45,hombre,unido/a,no asiste pero asistió,secundaria,no,3,si,48,0,asalariado privado,no,5000,,,,,,,,,si,,3,16,1,2,1,0,7,,2,,1,,,,,,,,,,,1
742,1,3,hijo/a de ambos,13,hombre,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,3,,1,9,,,,,,,,,,,,,,,,,,1
742,2,3,jefe,46,mujer,unido/a,no asiste pero asistió,primario común,no,4,si,36,0,trab. cuenta propia sin local,no,3000,,,,,,,1000,,si,,3,14,1,9,1,0,9,,2,,3,2000,1,6,7,,,,,,,1
742,3,3,hijo/a sólo del jefe,29,hombre,soltero/a,no asiste pero asistió,primario común,no,3,si,36,0,trab. cuenta propia sin local,no,999999,,,,,,,,,si,,3,14,1,9,1,0,9,,2,,,,,,,,,,,,,1
742,5,3,hijo/a sólo del jefe,20,mujer,soltero/a,no asiste pero asistió,secundaria,no,3,si,48,0,asalariado privado,si,6300,,,,,,,,,si,,3,17,1,9,1,0,9,,2,,,,,,,,,,,,,1
742,6,3,hijo/a sólo del jefe,17,mujer,soltero/a,no asiste pero asistió,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,15,1,9,7,,,,2,,,,,,,,,,,,,1
742,7,3,hijo/a de ambos,16,mujer,soltero/a,asiste actualmente,primario especial,no,99,si,,,,,,,4000,,,,,,,si,,3,,1,9,3,,,,2,,,,,,,,,,,,,1
742,8,3,serv. doméstico,44,hombre,unido/a,no asiste pero asistió,primario común,no,3,si,36,0,trab. cuenta propia sin local,no,3000,,,,,,,,,si,,3,10,1,9,1,0,9,,2,,,,,,,,,,,,,1
743,1,3,hijo/a de ambos,13,mujer,soltero/a,asiste actualmente,secundaria,no,0,si,,,,,,,,,,,,,,si,,4,,2,1,,,,,,,,,,,,,,,,,,1
743,2,3,jefe,38,mujer,casado/a,no asiste pero asistió,secundaria,no,2,si,48,0,asalariado privado,no,2000,,,,,,,6000,,si,,3,15,1,2,1,0,9,,2,,1,1900,1,5,,,,,,,,1
743,3,3,cónyuge,42,hombre,casado/a,no asiste pero asistió,secundaria,no,3,no,,,,,,,,,4000,,,,,si,,1,15,2,1,2,,,0,2,,1,,,,,,,,,,,1
743,4,3,hijo/a de ambos,18,hombre,soltero/a,asiste actualmente,secundaria,no,2,si,48,0,asalariado privado,si,5000,,,,,,,,,si,,4,,2,1,1,0,5,,2,,1,,,,,,,,,,,1
743,5,3,hijo/a de ambos,16,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,4,,2,1,3,,,,2,,,,,,,,,,,,,1
743,13,3,otros familiares,52,hombre,soltero/a,no asiste pero asistió,primario especial,si,6,si,,,,,,,,,,,,,,si,,3,99,1,2,7,,,,2,,1,,,,,,,,,,,1
744,1,3,hijo/a sólo del jefe,14,hombre,soltero/a,asiste actualmente,secundaria,no,99,si,,,,,,,,,,,,,,si,,9,,1,1,3,,,,2,,,,,,,,,,,,,1
744,2,3,jefe,35,mujer,unido/a,no asiste pero asistió,secundaria,si,6,si,30,0,asalariado privado,si,7300,,,,,,,,,si,,4,16,1,1,1,0,9,,2,,3,2000,1,4,13,,,,,,,1
744,3,3,hijo/a sólo del jefe,18,hombre,soltero/a,no asiste pero asistió,secundaria,no,99,si,,,,,,,,,,,,,,si,,3,18,1,1,7,,,,2,,,,,,,,,,,,,1
744,4,3,hijo/a sólo del jefe,7,hombre,soltero/a,no asiste pero asistió,primario común,no,2,si,,,,,,,,,,,,,,si,,3,7,1,1,,,,,,,,,,,,,,,,,,1
744,13,3,hijo/a sólo del jefe,5,hombre,soltero/a,no asiste pero asistió,preescolar,no,,si,,,,,,,,,,,,,,si,,1,99,1,1,,,,,,,,,,,,,,,,,,1
745,1,3,hijo/a de ambos,13,mujer,soltero/a,asiste actualmente,primario común,no,4,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
745,2,3,cónyuge,36,mujer,casado/a,nunca asistió,,,,si,9,0,trab. cuenta propia sin local,no,1500,,4070,,,,,,,si,,3,,1,2,1,0,9,,2,,3,2400,1,3,,,,,,,,1
745,3,3,hijo/a de ambos,9,hombre,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,1,,,,,,,,,,,1
745,4,3,hijo/a de ambos,18,mujer,soltero/a,no asiste pero asistió,primario común,si,6,si,,,,,,,,,,,,,,si,,3,99,1,2,6,,,,2,,,,,,,,,,,,,1
745,13,3,jefe,47,hombre,casado/a,no asiste pero asistió,ens. técnica,si,3,si,9,0,trab. cuenta propia sin local,no,999999,,,,,,,,,si,,3,99,1,2,1,0,9,,2,,1,,,,,,,,,,,1
746,1,3,hijo/a de ambos,14,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,4,9,3,,,,2,,,,,,,,,,,,,1
746,2,3,cónyuge,35,mujer,casado/a,no asiste pero asistió,ens. técnica,no,2,si,,,,,,,,,,,,,,si,,1,17,4,9,6,,,,2,,,,,,,,,,,,,1
746,3,3,jefe,36,hombre,casado/a,no asiste pero asistió,ens. técnica,no,2,si,50,0,asalariado público,si,9000,,,,,,,,,si,,3,17,4,9,1,0,1,,2,,,140,1,4,5,13,,,,,6000,1
746,4,3,hijo/a de ambos,17,hombre,soltero/a,no asiste pero asistió,secundaria,no,2,si,,,,,,,,,,,,,,si,,1,14,4,9,6,,,,2,,,,,,,,,,,,,1
746,5,3,hijo/a de ambos,10,mujer,soltero/a,asiste actualmente,primario común,no,3,si,,,,,,,,,,,,,,si,,1,,4,9,,,,,,,,,,,,,,,,,,1
746,13,3,hijo/a de ambos,2,hombre,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,3,,4,9,,,,,,,,,,,,,,,,,,1
748,2,3,jefe,37,mujer,unido/a,no asiste pero asistió,primario común,no,3,si,49,0,trab. cuenta propia con local,no,4000,,,,,,,1000,,si,1000,1,11,1,2,1,0,9,,2,,3,,,,,,,,,,,1
748,3,3,hijo/a de ambos,11,mujer,soltero/a,asiste actualmente,primario común,no,4,si,,,,,,,,,,,,,,si,,1,,1,2,,,,,,,,,,,,,,,,,,1
748,4,3,hijo/a de ambos,10,hombre,soltero/a,asiste actualmente,primario común,no,3,si,,,,,,,,,,,,,,si,,1,,1,2,,,,,,,,,,,,,,,,,,1
748,5,3,cónyuge,31,hombre,unido/a,no asiste pero asistió,primario común,si,6,si,42,0,trab. cuenta propia con local,no,3000,,,,,,,,,si,,1,99,1,2,1,0,9,,2,,1,,,,,,,,,,,1
750,1,3,hijo/a de ambos,13,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
750,2,3,cónyuge,49,mujer,casado/a,no asiste pero asistió,primario común,si,6,si,,,,,,,,,,,,,,si,,3,99,1,2,6,,,,2,,3,1600,1,6,,,,,,,,1
750,5,3,hijo/a de ambos,24,mujer,soltero/a,no asiste pero asistió,ens. técnica,ns/nc,3,si,20,0,asalariado privado,no,3330,,,,,,,,,si,,3,15,1,9,1,0,9,,2,,1,,,,,,,,,,,1
750,6,3,hijo/a de ambos,11,mujer,soltero/a,asiste actualmente,primario común,no,4,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,4,,,,,,,,,,,1
750,7,3,jefe,59,hombre,casado/a,no asiste pero asistió,primario común,no,3,si,50,0,trab. cuenta propia sin local,no,10500,,,,,,,,,si,,3,99,1,2,1,0,9,,2,,1,,,,,,,,,,,1
752,1,3,hijo/a de ambos,14,mujer,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
752,2,3,cónyuge,47,hombre,casado/a,no asiste pero asistió,universitario,si,6,si,48,0,asalariado privado,si,100000,,,,,,,,,si,,3,99,2,1,1,0,2,,1,1,,,,,,,,,,,999999,1
752,3,3,jefe,47,mujer,casado/a,no asiste pero asistió,universitario,si,6,si,40,0,asalariado privado,si,40000,,,,,,,10000,,si,,3,99,2,1,1,0,2,,1,1,,,,,,,,,,,,1
752,4,3,hijo/a de ambos,20,mujer,soltero/a,asiste actualmente,secundaria,no,2,si,,,,,,,,,,,,,,si,,3,,2,2,3,,,,1,1,,,,,,,,,,,,1
752,5,3,hijo/a de ambos,16,mujer,soltero/a,asiste actualmente,secundaria,no,4,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
752,6,3,hijo/a de ambos,19,hombre,soltero/a,no asiste pero asistió,secundaria,si,6,si,42,0,asalariado privado,si,9000,,,,,,,,,si,,3,18,2,2,1,6,5,,2,,,,,,,,,,,,,1
753,1,3,hijo/a sólo del jefe,14,hombre,soltero/a,asiste actualmente,secundaria,no,0,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
753,2,3,jefe,47,mujer,soltero/a,no asiste pero asistió,universitario,no,4,si,30,0,asalariado privado,si,3000,,,,10000,2500,,,,si,,5,99,2,2,1,0,2,,2,,1,,,,,,,,,,0,1
755,1,3,hijo/a sólo del jefe,14,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
755,2,3,jefe,40,hombre,sep./divorciado/a,no asiste pero asistió,universitario,si,2,si,40,0,asalariado público,si,32000,0,0,0,0,0,0,,0,,2,3,27,2,1,1,0,1,,1,1,,,,,,,,,,,,2
755,5,3,hijo/a sólo del jefe,10,mujer,soltero/a,asiste actualmente,primario común,no,3,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
755,13,3,cónyuge,41,mujer,unido/a,asiste actualmente,superior,no,2,si,40,10,trab. cuenta propia sin local,si,15000,13000,0,0,0,0,0,,0,,2,3,,2,1,1,0,2,,1,1,,,,,,,,,,,,2
755,14,3,hijo/a de ambos,2,hombre,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
757,1,3,nieto/a,13,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
757,2,3,hijo/a de ambos,34,mujer,sep./divorciado/a,no asiste pero asistió,superior,no,2,si,40,0,asalariado privado,si,1000,,,,,2000,,,,si,,3,25,2,1,1,0,4,,2,,1,1300,1,3,,,,,,,,1
757,3,3,nieto/a,11,hombre,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
757,4,3,jefe,68,mujer,casado/a,no asiste pero asistió,secundaria,no,6,si,,,,,,,6000,,,,,,,si,,3,99,2,1,5,,,,2,,,,,,,,,,,,,1
757,5,3,cónyuge,80,hombre,casado/a,no asiste pero asistió,primario común,si,6,si,,,,,,,4000,,,,,,,si,,3,99,2,1,4,,,,2,,,,,,,,,,,,,1
758,1,3,hijo/a sólo del jefe,13,mujer,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
758,2,3,jefe,39,mujer,unido/a,no asiste pero asistió,magisterio/ipa,si,4,si,40,0,asalariado público,si,23000,0,6000,0,0,0,0,,0,,2,3,25,2,1,1,0,2,,1,1,1,280,1,,,,,,,,8400,2
758,13,3,cónyuge,34,hombre,unido/a,no asiste pero asistió,secundaria,no,1,si,44,2,miembro coop. de prod.,si,15000,0,0,0,0,0,0,,0,,2,3,14,2,1,1,3,7,,2,,1,,,,,,,,,,2000,2
760,1,3,hijo/a sólo del jefe,14,hombre,soltero/a,asiste actualmente,secundaria,no,0,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
760,2,3,jefe,44,mujer,unido/a,no asiste pero asistió,universitario,si,1,si,48,0,asalariado público,si,40000,8000,,,,,,,,si,,3,99,2,1,1,0,2,,1,1,1,,,,,,,,,,999999,1
760,3,3,hijo/a sólo del jefe,17,mujer,soltero/a,asiste actualmente,secundaria,no,0,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
760,4,3,cónyuge,49,hombre,unido/a,no asiste pero asistió,universitario,no,1,si,48,0,asalariado público,si,40000,,,,,,,,,si,,3,99,2,1,1,0,2,,1,1,1,,,,,,,,,,999999,1
