nform,nper_enc,dpto_cod,fecha,codigo,a1,a2,a3,a4,a4a,a4b,a5,a5a,a6,a7,a8,a91,a92,a93,a94,a95,a96,a97,a98,a99,a910,a911,a912,a913,a914,a915,a916,a917,a918,a919,b1,b2,b3a,b3b,b4,b5,b6,b7,b8,b9a,b9b,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b20a,b21,gra1,grb1,grc1,grd1,gre1,grh1,grf1,gra2,grb2,grc2,grd2,gre2,grh2,grf2,gra3,grb3,grc3,grd3,gre3,grh3,grf3,gra4,grb4,grc4,grd4,gre4,grh4,grf4,gra5,grb5,grc5,grd5,gre5,grh5,grf5,aca1,aca2,acb1,acb2,acc1,acc2,acd1,acd2,ace1,ace2,acf1,acf2,acg1,acg2,ach1,ach2,aci1,aci2,acj1,acj2,ack1,ack2,acl1,acl2,acm1,acm2,acn1,acn2,aco1,aco2,b23,b24,b25,b26,b27,b28,sem,men,b301,b302,b303,b304,b305,b306,b307,b308,esp1,b31a,b31b,b31c,b32a,b32b,b32c,b32d,b32e,b32f,b32g,b32h,b32i,b32j,b32k,b32l,b32m,b32n,b32o,b32p,b32q,b32r,b32s,b32t,b32u,b32v,b32w,b32x,b32y,b32z,b32ll,b33a,b33,b34,b35,b36,b37,c1,c1_cod,c2,c3,c4,c5,c6,c7,sexent,c8,c9,c10a,c10b,c10c,c11a,c11b,c12,c13,c14,man1,maa1,mab1,mac1,mad1,mae1,maf1,man2,maa2,mab2,mac2,mad2,mae2,maf2,man3,maa3,mab3,mac3,mad3,mae3,maf3,man4,maa4,mab4,mac4,mad4,mae4,maf4,man5,maa5,mab5,mac5,mad5,mae5,maf5,c15,c16,c17,c18a,c18b,c18c,da1,db1,dc1,dd1,de1,df1,dha1,dhb1,dhc1,dhd1,dg1,dg1_cod,da2,db2,dc2,dd2,de2,df2,dg2,dg2_cod,dha2,dhb2,dhc2,dhd2,e1a,e1b,e1c,e1d,e1e,e1f,e1g,e1h,e1i,e1j,e2,esp2,e3,e4,e5,e6,e7,e8a,e8b,e8c,e9,e10,e11,e12,e13a,e13b,e13c,e13d,e13e,e13f,e13g,e14a,e14b,e14c,e14d,e14e,e14f,e14g,e14h,e14i,e14j,e14k,e14l,e14m,e14n,e14o,e14p,e14q,e14r,e14s,e14t,e14u,e14v,e14w,e14x,e15a,e15b,e16,e17,e18a,e18b,e19,e20,e2110,e212,e213,e214,e215,e216,e217,e218,e219,e22,e23a,e23b,e23c,e23d,e23e,e24,e25a,e25b,e25c,e25d,e26a,e26b,e26c,e26d,e26e,e27a,e27b,e27c,e27d,e27e,e27f,e27g,e27h,e27i,e27j,e27k,e27l,e28,e29a,e29b,e29c,e30a,e30b,e30c,e3a1,e3a2,e3a3,e3b1,e3b2,e3b3,e3e1,e3e2,e3e3,e3g1,e3g2,e3g3,e3d1,e3d2,e3d3,e3c1,e3c2,e3c3,h14,h15,obs1,obs2,obs3,ola,b14a,b14b,b14c,b14d,b14e,b14f,b14g,b14h,b14i,b14j,b14k,b14l,b14m,b14n,b14o,b14p,b14q,b14r,b14s,b14t,b14u,pesof_09antrop,tallaf_09antrop,__09_zteantrop,__09_zimceantrop,esc_pr
1547,3,3,21 Oct 11,20,2,1,1999,2,,,1,,2,4,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,2,0,0,1,,1,4,0,,,4,2,2,,,4,1,2,2,,,,2,valentina,1,5,2,15,4,2,sebastian,2,3,2,15,4,2,,,,,,,,,,,,,,,,,,,,,,1,20,1,6,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,,,2,1,2,2,2,2,1,2,,4,1,7,3,1,1,3,2,2,3,2,3,1,3,1,1,3,1,1,3,2,2,3,3,1,1,1,3,3,3,1,,,,,,montevideo,1,30,1,15,3,3,5,2,,1,1,2,1999,1,1,10,5,4,cecilia,3,5,2,53,3,1,ana,3,5,2,29,3,1,esther,3,5,2,56,3,1,marcela,5,5,1,43,3,1,,,,,,,,2,3,50000,1,2,2,1,1,67,,9,2,1,,,,montevideo,1,2,,,,,,0,,,,,,3,4,3,2,2,3,ns_nc,4,3,4,1,,3,2,1,1,1,4,4,1,1,2,2,4,1,1,1,1,1,1,3,1,9,3,10,10,10,10,5,5,9,10,1,8,10,5,10,7,9,9,10,9,ns_nc,10,10,4,2,5,ns_nc,1,3,3,1,2,4,3,8,9,8,9,1,1,4,9,9,5,5,4,12,1,1,1,1,2,2,2,1,1,4,4,3,2,4,4,4,3,4,4,1,4,4,,,,,,,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,10000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,155,.28,.89999998,1204
1550,2,3,17 Dec 11,105,2,1,1990,7,,,1,,1,3,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,0,1,,1,ninguna,7,2,trabajo,1,3,2,,,3,1,1,2,,,,3,Sin nombre,4,1,1,15,ns_nc,,Sin nombre,4,1,1,15,ns_nc,,Sin nombre,1,4,1,14,4,2,,,,,,,,,,,,,,,2,,1,12,1,6,1,20,1,1,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,1,2,1,2,,ns_nc,ns_nc,ns_nc,1,1,1,2,2,2,1,2,,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,1,3,2,2,2,3,2,1,3,7,0,4,montevideo,1,12,2,,4,4,4,2,,1,1,2,2011,2,,ninguno,2,2,Sin nombre,3,5,2,30,2,4,Sin nombre,3,5,2,85,2,5,,,,,,,,,,,,,,,,,,,,,,1,2,30000,1,1,1,1,2,,55,11,2,8,,,,lavalleja,9,1,2,,72,8,2,paysandu,11,3,,,,3,3,3,3,3,5,5,3,3,2,1,,5,2,1,2,1,1,3,1,1,1,1,3,3,1,1,1,1,1,1,10,1,1,10,10,10,10,10,5,10,10,10,10,10,1,10,1,10,10,10,10,10,10,10,3,3,8,ns_nc,1,2,1,1,7,7,7,7,7,8,10,10,1,4,4,4,4,4,4,15,1,1,1,4,2,2,2,2,1,4,4,3,4,3,3,4,1,4,4,1,1,4,,,,,,,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1204
1551,2,3,17 Dec 11,113,2,6,1984,6,,,1,,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,0,1,,1,ninguna,1,2,Ns_Nc,2,3,2,,,4,1,2,2,,,,1,carmen,1,ns_nc,2,12,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,,,2,2,2,2,2,2,1,2,,3,1,1,3,3,3,3,2,2,3,ns_nc,3,1,3,3,3,3,1,3,3,3,3,3,3,3,ns_nc,3,3,3,3,2,1,ns_nc,ns_nc,ns_nc,4,montevideo,1,12,2,17,4,4,99,2,,1,1,ns_nc,ns_nc,2,,ninguno,2,2,Sin nombre,ns_nc,5,2,ns_nc,3,5,Sin nombre,ns_nc,5,2,ns_nc,3,4,,,,,,,,,,,,,,,,,,,,,,3,5,10000,1,1,1,1,2,,55,11,2,ns_nc,,,,0,,1,2,,63,9,2,0,,ns_nc,,,,1,1,1,1,1,1,1,1,2,4,1,,3,2,1,2,2,1,8,2,1,1,1,3,3,1,3,3,3,1,1,10,10,1,10,10,10,10,10,9,9,10,10,2,10,1,10,1,10,10,10,10,10,10,10,3,3,1,ns_nc,4,1,2,3,1,1,8,1,1,2,2,9,10,2,4,4,5,4,5,8,2,ns_nc,ns_nc,4,2,2,2,2,1,4,3,4,4,4,3,4,3,2,4,3,2,2,10,,,2,,,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1204
1553,2,1,03 Oct 11,6,2,1,1995,3,,,1,,2,1,2,1,2,1,2,1,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,2,0,0,1,,2,2,1,2,paro,4,3,2,,,5,1,1,2,,,,5,gonzalo banderas,1,4,1,14,4,2,fabian,1,4,1,15,4,2,julian,3,5,1,14,4,2,ignacio robaina,3,5,1,14,4,2,bruno la rosa,3,5,1,16,4,2,1,2,1,3,1,1,1,3,1,4,2,,1,3,2,,2,,2,,1,2,2,,1,2,2,,2,,1,1,2,,2,,,,2,2,2,2,2,2,2,1,solo,4,1,5,3,1,1,3,2,2,2,1,2,1,3,1,1,2,3,1,2,2,1,1,3,1,2,1,1,1,3,2,1,3,3,1,1,canelones,3,13,2,34,1,1,1,2,,1,1,20,2010,2,,ninguno,2,5,susana,4,3,2,52,ns_nc,1,teresa,4,3,2,61,2,5,marta,4,5,2,42,3,1,silvia,4,5,2,38,3,1,isabel,4,5,2,48,3,1,2,3,50000,1,1,2,1,1,81,,6,2,5,,,,italia,57,1,2,,83,6,2,minas,9,8,,,,3,4,3,2,2,5,1,4,3,5,1,,4,2,ns_nc,2,1,5,5,5,1,2,1,2,1,2,1,1,1,1,1,5,9,1,10,10,10,10,1,8,10,10,1,1,5,5,10,5,10,10,10,2,10,10,10,5,4,3,3,1,3,4,5,1,8,1,9,1,1,10,1,1,4,9,3,5,5,9,9,1,1,1,1,2,2,2,1,1,3,4,4,3,3,3,4,2,4,3,1,4,4,,,,,,,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,139,-1.52,.46000001,1390
1555,2,1,12 Oct 11,9,2,1,ns_nc,7,,,1,,2,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,0,0,1,,1,1,0,,,2,3,2,,,4,1,1,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,6,1,6,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,1,1,2,2,2,2,2,2,,1,4,4,3,1,1,3,1,3,3,1,3,1,3,1,1,3,2,2,3,1,1,3,2,1,1,1,3,1,2,1,,,,,,montevideo,1,16,2,20,4,4,4,2,,1,1,ns_nc,2010,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,25000,2,2,2,1,1,65,,11,2,8,,,,montevideo,1,2,,,,,,0,,,,,,3,3,3,3,3,3,5,3,3,3,7,,1,2,1,1,1,9,9,9,1,1,1,3,3,3,3,3,3,3,3,10,10,1,10,10,10,10,10,10,10,10,1,10,1,5,10,10,5,10,10,1,ns_nc,10,10,3,3,7,3,2,2,2,1,10,10,10,1,1,10,10,1,1,3,9,9,9,9,9,4,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,155,.47,.1,1390
1556,2,1,12 Oct 11,6,2,1,2009,7,,,1,,3,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,,1,2,15,2,fallecimiento de un familiar,5,3,1,1,3,4,1,1,2,,,,5,guillermo,2,4,1,11,2,2,diego,3,5,1,13,4,2,cristian,5,5,1,11,2,2,julieta,3,5,2,12,3,2,matias,3,5,1,12,3,2,1,2,1,5,2,,2,,1,8,1,2,2,,2,,2,,2,,1,2,2,,2,,2,,2,,2,,2,,2,,,,2,2,1,2,2,2,2,2,,3,4,5,3,3,1,2,1,1,2,2,3,1,3,1,2,3,2,1,2,2,1,2,1,1,1,1,2,1,2,1,,,,,,montevideo,1,16,2,15,2,2,2,2,,2,2,,,2,,20,2,1,silvia,5,5,2,45,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,30000,1,1,1,1,1,45,,5,2,7,,,,montevideo,1,1,1,53,,7,2,montevideo,1,8,,,,2,4,2,1,2,5,1,3,3,3,7,,3,2,1,1,1,2,,2,2,2,2,3,1,2,1,1,1,1,1,1,10,1,10,10,10,10,3,10,5,10,5,5,10,2,7,10,5,10,10,5,10,10,10,4,3,5,3,4,4,2,4,5,5,5,10,2,2,10,1,1,4,1,9,5,5,9,4,1,1,1,1,2,2,2,2,2,2,2,1,4,4,4,4,2,4,4,1,4,4,,,,,,,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,120000,0,,,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,153,.58999997,-.97000003,1390
1558,3,1,02 Oct 11,6,2,1,2001,4,,,1,,2,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,0,0,1,,1,2,0,,,5,3,2,,,5,1,2,2,,,,5,romina esverin,1,5,2,14,4,2,camila mattos,5,5,2,14,4,2,camila camacho,1,5,2,14,4,2,romina castagni,3,5,2,14,4,2,belen rodriguez,3,5,2,11,2,2,2,,1,12,1,20,1,2,1,3,2,,2,,2,,2,,2,,2,,1,6,1,2,2,,2,,2,,2,,2,,,,1,1,2,2,2,2,2,2,,3,5,4,3,3,1,3,3,1,3,1,2,3,3,2,1,2,1,1,2,2,1,1,2,2,1,1,1,1,3,1,,,,,,montevideo,1,14,2,18,3,3,2,2,,1,1,18,2010,2,,2,4,5,virginia,3,5,2,36,3,1,gabriela,5,5,2,38,2,1,sandra,4,4,2,38,3,1,laura,3,5,2,39,2,1,fabiana,3,5,2,25,1,4,1,5,40000,1,2,2,1,1,63,,11,2,7,,,,montevideo,1,1,1,76,,10,2,montevideo,1,1,3,,,3,3,2,3,2,3,1,3,4,4,1,,4,2,2,1,ns_nc,2,2,5,2,2,1,2,2,2,1,1,2,2,2,10,10,10,5,5,10,10,1,9,2,10,2,2,1,1,5,1,3,10,10,2,10,10,10,2,6,8,3,2,4,2,3,2,2,1,1,10,2,1,1,1,4,1,1,3,5,9,9,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,3,4,4,1,4,4,,,,,,,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,154,.28,.18000001,1390
1559,2,1,11 Oct 11,6,2,1,1996,3,,,1,,5,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,0,0,1,,1,2,0,,,5,2,2,,,5,1,2,2,,,,4,micaela,3,5,2,14,4,2,lucia,3,5,2,13,3,2,maria,3,5,2,13,3,2,alejandra,3,5,2,13,4,2,,,,,,,,1,1,1,3,1,2,1,9,1,1,2,,2,,2,,2,,2,,2,,2,,1,4,2,,2,,2,,2,,2,,,,1,1,2,2,2,2,2,2,,3,5,5,2,2,1,3,3,2,2,1,2,2,3,2,1,2,1,2,3,1,1,1,2,1,2,1,3,1,3,1,,,,,,montevideo,1,19,1,25,4,4,4,2,,1,1,18,2011,2,,ninguno,2,5,adriana,4,5,2,44,3,1,gabriela,5,5,2,50,ns_nc,4,fernando,5,5,1,50,3,1,lourdes,3,5,2,38,4,1,ana,3,5,2,38,4,1,1,5,60000,1,2,2,1,1,65,,4,3,1,5,,,montevideo,1,1,1,65,,4,3,montevideo,1,1,3,5,,5,5,4,1,5,4,4,1,4,4,2,,4,2,ns_nc,1,1,5,5,5,1,2,2,2,3,3,1,1,1,1,1,10,10,5,10,10,10,10,4,10,10,10,5,5,5,4,10,5,10,3,10,8,10,10,10,5,5,5,ns_nc,2,4,2,1,1,10,1,10,2,3,10,1,1,4,4,4,4,5,9,9,1,1,1,1,2,2,2,2,ns_nc,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,1,9,2,1,9,2,9,2,2,1,2,2,1,2,2,1,9,10000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,164,2.05,.70999998,1390
1560,2,1,22 Oct 11,6,1,1,1997,8,,,1,,3,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,4,0,,,4,3,1,1,1,4,1,2,2,,,,5,braian,4,3,1,13,4,2,jorge,4,3,1,14,4,2,cristian,4,3,1,13,4,2,gonzalo,4,3,1,13,4,2,ignacio,4,3,1,13,4,2,1,4,2,,1,3,1,10,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,1,2,2,1,2,2,2,2,,2,1,4,2,2,1,3,1,1,3,1,2,1,3,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,3,1,,,,,,montevideo,1,18,1,21,4,4,4,2,,1,1,3,2010,2,,10,2,5,ana,4,5,2,43,3,1,monica,4,5,2,43,3,1,alicia,4,5,2,43,4,1,beatriz,4,5,2,43,3,1,claudia,4,5,2,43,3,1,1,5,30000,2,2,2,1,2,,73,2,8,8,,,,montevieo,1,2,,,,,,0,,,,,,4,4,3,4,3,4,ns_nc,5,4,5,1,,3,2,1,1,1,5,,5,1,1,1,3,3,2,1,1,1,1,1,10,5,1,10,10,10,10,10,10,10,10,5,5,5,5,5,5,10,10,10,5,10,10,10,5,5,5,3,1,2,4,2,5,10,5,10,2,2,10,2,1,4,9,9,5,5,9,4,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,0,0,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,145,-1.22,.80000001,1390
1561,2,1,02 Oct 11,6,2,1,2001,3,,,1,,3,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,0,0,1,,1,2,15,1,,4,3,1,4,20,3,1,2,2,,,,5,gonzalo pisinin,3,5,1,13,4,2,agustin veiga,3,5,1,12,2,2,nahuel toledo,3,5,1,12,3,2,facundo ramirez,3,5,1,10,2,2,cristian morales,2,2,1,13,4,2,1,2,1,3,1,6,2,,1,5,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,2,,2,,2,,,,1,1,2,2,2,1,1,2,,3,5,5,3,1,1,3,1,1,3,1,3,1,3,1,1,2,1,1,3,1,1,1,2,1,1,1,3,3,2,2,1,3,3,0,4,montevideo,1,18,1,19,3,3,3,2,,1,1,4,2009,2,,ninguno,2,4,maria noel,5,5,2,33,2,1,laura,4,5,2,35,3,1,judit,3,4,2,42,3,1,rayo,3,5,2,56,ns_nc,4,,,,,,,,3,2,40000,2,2,2,1,1,58,,9,2,8,,,,montevideo,1,1,1,60,,9,2,montevideo,1,3,,,,4,4,2,3,4,5,1,2,3,5,1,,5,2,2,2,1,6,2,7,1,1,1,4,3,3,1,1,1,1,1,10,10,2,9,9,9,10,9,9,9,9,5,5,10,5,10,5,10,5,10,10,10,10,10,6,6,9,3,2,4,3,1,5,9,9,10,10,2,10,1,1,4,3,3,3,4,9,11,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,143,-1.16,-1.22,1390
1562,2,1,04 Oct 11,6,2,1,1989,3,,,1,,5,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,1,1,2,2,2,1,2,1,0,1,1,,1,ninguna,0,,,2,5,2,,,4,1,2,2,,,,3,gaston,3,5,1,15,4,2,luis vidal,3,5,1,18,1,2,daniel,3,5,1,21,1,1,,,,,,,,,,,,,,,2,,1,4,1,3,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,2,1,2,2,2,2,2,,3,1,4,2,3,1,3,3,2,1,2,2,3,3,3,3,2,2,3,2,3,2,1,2,1,3,1,2,2,2,2,2,,,,,montevideo,1,21,1,22,7,7,2,2,,1,1,3,2010,2,,4,2,4,estela,3,5,2,43,4,1,gabriela,3,5,2,39,3,4,sandra,3,5,2,36,ns_nc,1,manela,3,5,2,33,2,1,,,,,,,,3,1,30000,1,1,2,1,1,69,,11,2,2,,,,montevideo,1,1,1,71,,8,2,montevideo,1,1,,,,4,4,3,3,3,2,1,3,3,2,1,,4,1,1,2,1,4,5,7,1,1,1,4,3,1,3,1,1,1,3,4,7,4,9,9,9,9,3,8,10,10,6,6,9,7,9,8,5,8,9,4,9,8,9,3,5,5,3,2,2,4,5,3,5,6,2,3,4,2,7,7,4,9,3,5,5,9,10,4,4,1,4,2,2,2,2,1,4,4,2,4,4,4,4,2,4,4,2,4,4,,,,,,,2,1,2,2,1,2,2,1,2,1,2,9,1,2,9,9,2,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,151,-.12,.079999998,1390
1563,3,1,02 Oct 11,6,2,1,1984,4,,,1,,3,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,0,0,1,,1,1,1,2,se durmio,4,3,2,,,4,1,2,2,,,,1,lucas,3,5,1,14,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,5,2,,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,2,,2,,,,1,1,2,1,2,2,2,2,,3,5,5,3,1,1,1,3,2,2,1,3,1,1,1,1,3,3,2,2,1,1,1,2,1,2,1,1,2,2,1,,,,,,montevideo,1,14,2,18,2,2,2,2,,1,1,11,2011,1,5,9,2,4,gladys,5,5,2,35,3,1,paola,5,5,2,36,3,1,asusena,5,4,2,50,ns_nc,1,susana,5,4,2,50,ns_nc,1,,,,,,,,1,5,30000,1,1,1,1,1,65,,11,2,1,,,,canelones,3,1,2,,60,7,ns_nc,canelones,3,8,,,,4,4,3,4,3,4,1,4,3,4,1,,4,2,1,1,1,5,5,4,1,2,2,4,2,2,1,1,1,1,1,10,10,10,10,10,9,10,1,9,10,10,10,2,5,5,8,9,9,9,9,9,9,9,9,4,2,6,2,4,2,4,4,1,9,5,1,1,2,1,5,9,3,2,4,5,5,9,15,4,1,1,3,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,3000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,153,.46000001,.54000002,1390
1564,2,1,22 Oct 11,6,2,1,2005,4,,,1,,3,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,2,1,,3,3,1,1,1,4,1,2,2,,,,2,julieta,3,2,2,14,4,2,alina,3,5,2,12,2,2,,,,,,,,,,,,,,,,,,,,,,2,,1,15,1,15,2,,1,20,2,,2,,2,,2,,2,,2,,1,3,2,,2,,2,,1,1,2,,2,,,,1,1,2,2,2,2,2,2,,2,4,1,2,1,1,2,3,1,2,1,2,2,3,2,1,2,1,1,2,1,1,2,2,1,1,1,2,1,3,1,,,,,,montevideo,1,14,2,16,4,4,2,2,,1,1,20,2011,1,8,ninguno,2,5,vanessa,4,5,2,24,4,1,beatriz,4,5,2,29,3,1,veronica,4,4,2,43,3,1,mariana,4,5,2,26,4,1,cecilia,4,5,2,33,3,1,3,1,80000,1,1,2,1,1,53,,4,3,7,,,,montevideo,1,1,ns_nc,,,ns_nc,ns_nc,no sabe,ns_nc,ns_nc,,,,4,2,3,3,3,5,1,4,3,4,1,,3,2,1,1,1,5,4,3,1,2,1,3,1,2,2,1,2,1,1,10,10,1,10,10,10,10,2,9,10,10,5,10,5,5,10,10,10,10,10,10,10,10,10,5,2,5,3,3,2,4,1,1,5,5,10,2,2,10,1,1,4,3,4,3,5,9,12,1,1,1,1,2,2,2,2,1,4,4,3,4,4,3,4,4,4,4,2,4,4,,,,,,,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,9,70000,0,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,146,-1.33,-.54000002,1390
1565,3,1,23 Oct 11,3,1,1,2008,4,,,1,,3,1,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,0,0,1,,1,ninguna,5,1,,3,4,2,,,4,1,2,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,ns_nc,1,20,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,1,2,2,2,2,2,2,,3,5,5,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,2,1,1,1,1,2,1,2,1,,,,,,montevideo,1,11,2,19,4,4,4,2,,2,1,3,2009,2,,ninguno,2,1,amalia,3,5,2,50,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,25000,1,1,1,1,2,,72,9,2,1,,,,montevideo,1,1,2,,65,8,2,rocha,14,3,,,,3,4,2,3,3,3,3,3,3,2,1,,5,2,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,10,10,1,10,10,10,10,1,10,10,10,1,1,10,1,10,10,10,10,10,10,10,10,10,1,1,5,3,2,2,2,1,1,1,1,1,1,1,10,1,1,4,1,1,9,4,4,4,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,1,4,3,7,,,2,,,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2540
1567,4,1,12 Sep 11,15,2,1,1998,5,4000,,1,,6,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,2,3,1,1,0,1,,1,2,3,2,"paro, lluvia",4,4,2,,,5,1,1,1,1,7,infeccion en el oido,5,juan paulo,1,5,1,13,3,2,brian,1,5,1,13,3,2,nicolas andrade,1,5,1,13,3,2,mauricio escala,1,5,1,13,3,2,mauricio echeverria,1,5,1,13,3,2,1,8,1,15,1,15,1,20,1,10,2,,2,,2,,2,,2,,1,2,1,3,1,4,2,,2,,1,3,2,,2,,,,2,1,1,2,2,1,1,2,,3,1,5,3,3,1,3,3,1,3,3,3,2,3,1,1,3,3,3,3,1,3,1,3,1,2,1,1,3,2,2,1,3,6,0,1,paysandu,11,9,2,25,2,2,4,2,,1,1,10,2011,2,,ninguno,1,2,alicia,1,5,2,62,3,5,laura,1,5,2,62,3,1,,,,,,,,,,,,,,,,,,,,,,1,5,30000,1,1,1,1,2,,39,11,4,3,,,,paysandu,11,1,2,,86,6,3,paysandu,11,2,7,,,1,1,1,1,1,5,5,4,4,3,3,,5,1,1,2,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,10,10,1,10,10,10,10,10,10,10,10,5,10,5,5,10,10,10,10,10,10,10,10,10,1,1,8,2,4,1,4,4,1,8,10,10,8,8,10,1,1,4,2,2,4,3,4,4,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,151,.27000001,2.29,2540
